locus,title,description,function
 BSU_20830, yopN, involved in controlling lysis/lysogeny in the SP beta phage, control of lysis/lysogeny in the SP beta phage
 BSU_12170, forE1, essential subunit of formate:menadione oxidoreductase [[protein|E54F39E72DC4881E886159607C2B424A41DE0D01]]-[[protein|01C43D05A53BF4B0F505D9C9CCAAFA1AF9E94F87]], survival of ethanol and paraquat stresses
 new_926651_926919_c, S289, new RNA feature,
 new_926651_926919_c, , ,
 BSU_04430, ydbD, general stress protein, BSU_04430
 BSU_21340, yomJ, similar to phage-related immunity protein, unknown
 BSU_00560, spoVT, transcription activator and repressor of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]]-dependent genes, regulation of forespore gene expression
 BSU_10480, yhjE, unknown, unknown
 BSU_13290, ykzD, unknown, unknown
 new_1923125_1923233, S663, new RNA feature, new_1923125_1923233
 BSU_26330, yqdA, unknown, BSU_26330
 new_2749037_2749259, S1013, new RNA feature, new_2749037_2749259
 BSU_19020, yobN, similar to L-amino acid oxidase, unknown
 BSU_10730, yisI, [[protein|2C54FE2ADC82FF414D732018C90649D477A925AD]]-P phosphatase, BSU_10730
 new_3208192_3208279_c, S1190, new RNA feature,
 new_3208192_3208279_c, , ,
 new_1192592_1192857, S398, new RNA feature,
 new_1192592_1192857, , ,
 BSU_32790, yusG, unknown, unknown
 BSU_04020, yczH, unknown, unknown
 BSU_31740, pdeH, c-di-GMP degrading phosphodiesterase, degradation of c-di-GMP
 BSU_14071, fadG, fatty acid degradation, fatty acid degradation
 BSU_28800, araA, L-arabinose isomerase, arabinose utilization
 BSU_12220, yjiC, UDP-dependent glycosyltransferase, BSU_12220
 BSU_03970, ycnL, unknown, unknown
 new_3032765_3032908, S1130, new RNA feature, new_3032765_3032908
 new_1150464_1151119, S381, new RNA feature,
 new_1150464_1151119, , ,
 BSU_19360, odhB, 2-oxoglutarate dehydrogenase complex (dihydrolipoamide transsuccinylase, BSU_19360
 BSU_22070, xpt, xanthine phosphoribosyltransferase, purine salvage and interconversion
 new_3794010_3794074_c, S1430, new RNA feature, new_3794010_3794074_c
 BSU_01170, rplD, ribosomal protein, translation
 BSU_23380, lysA, diaminopimelate decarboxylase, biosynthesis of lysine
 BSU_28930, lytS, two-component sensor kinase, BSU_28930
 BSU_15069, ylzH, unknown, unknown
 BSU_00950, mrnC, RNase Mini-III, maturation of 23S rRNA
 BSU_19030, yobO, similar to phage-related pre-neck appendage protein, unknown
 BSU_30350, yttB, similar to multidrug resistance protein, unknown
 BSU_34910, hisD, histidinol dehydrogenase, biosynthesis of histidine
 BSU_05610, vmlR, F-type ATP-binding cassette protein, lincomycin) from their ribosomal binding sites
 new_2079086_2079196, S728, new RNA feature,
 new_2079086_2079196, , ,
 new_2197860_2198069_c, S778, new RNA feature,
 new_2197860_2198069_c, , ,
 BSU_38140, qoxD, cytochrome aa3 quinol oxidase (subunit IV), respiration
 BSU_21750, sco, accessory lipoprotein required for assembly of the Cu(A) center of [[protein|72D5442C0EF3B404F7B615366E357B68C863CEB6|cytochrome c oxidase caa3]], maturation of [[protein|72D5442C0EF3B404F7B615366E357B68C863CEB6|cytochrome c oxidase caa3]]
 BSU_37070, rpmE, ribosomal protein BL31, translation
 BSU_17900, sirA, [[category|SW.4.2]] protein, facilitates capture of <i>oriC</i> in the forespore
 BSU_00600, yabP, required for [wiki|sporulation] at a late stage, [wiki|sporulation]
 BSU_07430, yfmL, DEAD-box RNA helicase, RNA helicase
 BSU_27710, tgt, tRNA-guanine transglycosylase, tRNA modification
 new_3733736_3733966_c, S1396, new RNA feature, new_3733736_3733966_c
 BSU_08290, lnrJ, two-component sensor kinase, BSU_08290
 BSU_08930, cspR, similar to tRNA (Um34/Cm34) methyltransferase, translation
 BSU_08280, yfiI, similar to oxidoreductase, unknown
 BSU_22400, dinG, ATP-dependent DNA helicase, response to DNA damage
 BSU_26320, yqaG, similar to transcription regulator ([wiki|Xre family]), BSU_26320
 BSU_14280, moeA, molybdopterin molybdenumtransferase, nitrate respiration
 BSU_14630, speA, arginine decarboxylase, BSU_14630
 BSU_20170, yosC, unknown, unknown
 BSU_06620, ligA, DNA ligase (NAD-dependent), replication
 BSU_39050, katE, catalase, BSU_39050
 BSU_05390, ydfF, similar to transcriptional regulator ([wiki|ArsR family]), unknown
 BSU_25990, yqbS, similar to phage-related protein, unknown
 new_1780399_1780532, S612, new RNA feature,
 new_1780399_1780532, , ,
 new_3255432_3256404, S1214, new RNA feature,
 new_3255432_3256404, , ,
 BSU_36200, ywqI, unknown, unknown
 BSU_39070, bglS, endo-beta-1,4 glucanase
 BSU_22660, trpC, indole-3-glycerol-phosphate synthase, biosynthesis of tryptophan
 BSU_33610, rnr, RNase R, BSU_33610
 BSU_35500, degS, two-component sensor kinase for exoenzyme and competence regulation, BSU_35500
 BSU_32730, metQ, methionine [wiki|ABC transporter] (binding lipoprotein), methionine uptake
 new_3762479_3762776_c, S1409, new RNA feature, new_3762479_3762776_c
 new_4215473_4215670, S1583, new RNA feature,
 new_4215473_4215670, , ,
 BSU_35440, yvyF, similar to flagellar protein, unknown
 BSU_36990, ywkF, sporulation protein, unknown
 BSU_09620, yhdW, similar to glycerophosphodiester phosphodiesterase, unknown
 BSU_35450, comFC, late competence gene, BSU_35450
 BSU_11870, metI, O-succinylhomoserine lyase (L-cysteine, methanethiol
 BSU_06269, ydzJ, unknown, unknown
 BSU_misc_RNA_12, BSU_misc_RNA_12, null, null
 BSU_06550, yecA, similar to L-methionine and branched chain amino acids transporter, unknown
 BSU_misc_RNA_48, BSU_misc_RNA_48, null, null
 BSU_38180, ywzA, general stress protein, unknown
 BSU_31630, mrpD, H<sup>+</sup> transporter subunit of the Na<sup>+</sup>/H<sup>+</sup> antiporter, BSU_31630
 new_1211372_1211476, S403, new RNA feature, new_1211372_1211476
 BSU_04650, ndoAI, antitoxin, BSU_04650
 BSU_08020, yfjO, similar to ribosomal RNA methyltransferase, unknown
 new_4125593_4125741_c, S1543, new RNA feature,
 new_4125593_4125741_c, , ,
 new_649718_649826, S207, new RNA feature, new_649718_649826
 BSU_03789, yczN, putative toxin, unknown
 new_3529856_3529913_c, S1313, new RNA feature, new_3529856_3529913_c
 BSU_11460, oppD, oligopeptide [wiki|ABC transporter ](ATP-binding protein), initiation of [wiki|sporulation]
 BSU_22590, ypiA, unknown, unknown
 new_1915794_1916005_c, S656, new RNA feature, new_1915794_1916005_c
 BSU_04110, lipC, spore coat protein, BSU_04110
 new_3809980_3810619_c, S1440, new RNA feature, new_3809980_3810619_c
 new_3741593_3741676, S1400, new RNA feature, new_3741593_3741676
 BSU_05240, ydeL, similar to transcriptional regulator ([wiki|MocR/ GabR family]), unknown
 BSU_30280, melD, [wiki|ABC transporter] subunit for melibiose and raffinose (permease), uptake of melibiose and raffinose
 new_252315_252458, S89, new RNA feature,
 new_252315_252458, , ,
 BSU_rRNA_8, rrnJ-5S, 5S rRNA, translation
 new_3744236_3744320_c, S1401, new RNA feature, new_3744236_3744320_c
 BSU_22230, ptsA, [[category|SW.1.2.2|PTS]] EIIA component, uptake and phosphorylation of maltose
 BSU_12930, dppB, dipeptide [wiki|ABC transporter] (permease), uptake of dipeptides
 new_4039160_4039225_c, S1515, new RNA feature, new_4039160_4039225_c
 BSU_39950, yxaJ, unknown, unknown
 BSU_09210, yhcT, similar to pseudouridylate synthase, RNA modification
 BSU_38390, ywbA, similar to [[category|SW.1.2.2|PTS]], BSU_38390
 new_2780331_2780484_c, S1029, new RNA feature,
 new_2780331_2780484_c, , ,
 BSU_13270, ykoI, unknown, unknown
 BSU_15730, fmt, methionyl-tRNA formyltransferase, formylation of Met-tRNA(fMet)
 BSU_26510, yrkH, unknown, unknown
 BSU_40390, walH, negative effector of [[protein|E88978809272FAC2520DB4ABCA0554F8028F3451]], BSU_40390
 new_2225995_2226059, S800, new RNA feature, new_2225995_2226059
 new_3631609_3631729_c, S1350, new RNA feature, 
 BSU_14720, ylaB, unknown, unknown
 new_2529726_2529888_c, S918, new RNA feature,
 new_2529726_2529888_c, , ,
 BSU_33760, sdpB, membrane protein, BSU_33760
 BSU_32830, fadA, acetyl-CoA C-acyltransferase, fatty acid degradation
 new_1229759_1229848, S412, new RNA feature,
 new_1229759_1229848, , ,
 BSU_39810, csbC, general stress protein, required for protection against paraquat stress
 new_3774188_3774399_c, S1418, new RNA feature,
 new_3774188_3774399_c, , ,
 BSU_32040, yuiF, membrane protein, unknown
 BSU_37240, ywiE, minor cardiolipin synthetase, required for protection against paraquat stress
 BSU_misc_RNA_61, mswI, , 
 BSU_02070, csgA, required for the ability of the germinating spore to resume vegetative growth, spore germination
 new_3451771_3451862_c, S1287, new RNA feature,
 new_3451771_3451862_c, , ,
 BSU_08320, lnrM, similar to [wiki|ABC transporter] (membrane protein), BSU_08320
 BSU_17280, ymaD, putative peroxiredoxin, protection against oxidative stress
 new_1168918_1169042, S393, new RNA feature, new_1168918_1169042
 BSU_05600, ydgE, protein N-acetyltransferase, BSU_05600
 BSU_13520, ykrP, putative membrane-bound acyltransferase, unknown
 BSU_11120, yitT, general stress protein, BSU_11120
 new_2552307_2552445, S924, new RNA feature, new_2552307_2552445
 BSU_07410, yfmN, unknown, unknown
 BSU_33250, rsiO, anti-Sig([[protein|6359025A73C0BD313F5BCC6F56FE88B820902AAA]]-[[protein|AE8D4F07EFB17DA727D80229C3E72075928AA352]]), control of Sig([[protein|6359025A73C0BD313F5BCC6F56FE88B820902AAA]]-[[protein|AE8D4F07EFB17DA727D80229C3E72075928AA352]]) activity
 BSU_32630, yurR, similar to glycine oxidase, unknown
 BSU_27490, yrrB, unknown, unknown
 new_1386984_1387035_c, S472, new RNA feature, new_1386984_1387035_c
 BSU_10750, yisK, modulator of [[protein|6ED386D49F973C1F6B1076974F54275DD583C9D3]] activity,2
 BSU_09520, sigM, [wiki|RNA polymerase] ECF-type [wiki|sigma factor] [[protein|081DF3EE9FA56209D648C7677188C61CE3AA8E41]], BSU_09520
 BSU_15260, ylxX, unknown, unknown
 BSU_39600, yxeC, unknown, unknown
 BSU_11382, appA/2, oligopeptide ABC transporter, BSU_11382
 BSU_00250, xpaC, hydrolysis of 5-bromo-4-chloroindolyl phosphate, unknown
 new_1454806_1455063, S504, new RNA feature,
 new_1454806_1455063, , ,
 BSU_misc_RNA_79, surC, new RNA feature, BSU_misc_RNA_79
 new_1072963_1073105_c, S351, new RNA feature, new_1072963_1073105_c
 BSU_21190, yomX, unknown, unknown
 BSU_misc_RNA_20, BSU_misc_RNA_20, null, null
 BSU_30180, ytbQ, unknown, unknown
 new_3574321_3577707, S1326, new RNA feature,
 new_3574321_3577707, , ,
 BSU_20040, yosP, similar to ribonucleoside-diphosphate reductase (beta subunit), unknown
 BSU_25569, yqzM, unknown, unknown
 BSU_39150, yxiJ, unknown, unknown
 BSU_10420, comK, competence transcription factor (CTF), regulation of [wiki|genetic competence] and DNA uptake
 new_3471824_3472588, S1299, new RNA feature,
 new_3471824_3472588, , ,
 new_2713803_2713911_c, S993, new RNA feature,
 new_2713803_2713911_c, , ,
 new_1538693_1539646, S537, new RNA feature, new_1538693_1539646
 BSU_23616, mciZ, [[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] inhibition peptide, inhibits GTPase activity of [[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] and Z ring formation during sporulation
 BSU_25160, ispH, (E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase, BSU_25160
 BSU_30390, bceS, two-component sensor kinase, plectasin
 new_45224_45399_c, S23, new RNA feature, new_45224_45399_c
 BSU_22390, ypmA, unknown, unknown
 BSU_39750, iolB, formation of 2-deoxy-5-keto-gluconic acid (4th reaction), myo-inositol catabolism
 BSU_04745, BSU_04745, , 
 new_1071709_1071971_c, S348, new RNA feature,
 new_1071709_1071971_c, , ,
 new_1744297_1744366, S598, new RNA feature, new_1744297_1744366
 BSU_23780, yqjQ, similar to ketoacyl reductase, unknown
 new_2897341_2897467_c, S1072, new RNA feature, new_2897341_2897467_c
 BSU_14150, ykuN, flavodoxin, replaces ferredoxin under conditions of iron limitation
 BSU_21990, ypdQ, similar to RNase HI, unknown
 BSU_16520, frr, ribosome recycling factor, BSU_16520
 BSU_14000, patA, N-acetyl-L, BSU_14000
 BSU_27809, yrzT, unknown, unknown
 BSU_36710, fdhD, sulphurtransferase, BSU_36710
 BSU_26450, yrkN, unknown, unknown
 BSU_27020, yraA, general stress protein, glyoxalase III-like enzyme
 new_1884880_1884967, S629, new RNA feature,
 new_1884880_1884967, , ,
 BSU_misc_RNA_2, scr, 4.5 S RNA, BSU_misc_RNA_2
 BSU_25090, yqfW, unknown, unknown
 BSU_24630, sipW, bifunctional signal peptidase I that controls surface-adhered [wiki|biofilm formation] and processes [[protein|BF97457E986656E4A9FE7A858F5BDF1759850D5C]] and [[protein|8C13E1EF5437DD8F9906643DEDCBB18DABE3B9E3]], [wiki|biofilm formation]
 BSU_tRNA_34, trnD-Asp, null, translation
 new_3463734_3464253_c, S1292, new RNA feature,
 new_3463734_3464253_c, , ,
 BSU_17330, miaA, tRNA isopentenylpyrophosphate transferase, tRNA modification
 BSU_08380, yfiS, similar to multidrug resistance protein, unknown
 BSU_37030, racA, cell division protein, 
 new_2198766_2198847_c, S779, new RNA feature,
 new_2198766_2198847_c, , ,
 BSU_32660, glxB, glyoxalase II, detoxification of methylglyoxal
 new_3194349_3194635, S1188, new RNA feature, new_3194349_3194635
 BSU_19680, yozE, unknown, unknown
 BSU_31860, yueB, membrane protein, receptor for phage SPPI
 BSU_18860, yozH, unknown, unknown
 BSU_36740, ywmC, unknown, unknown
 BSU_07120, lplC, transmembrane lipoprotein, BSU_07120
 BSU_21925, BSU_21925, , 
 new_3316213_3316329_c, S1246, new RNA feature,
 new_3316213_3316329_c, , ,
 new_2563803_2563987_c, S928, new RNA feature,
 new_2563803_2563987_c, , ,
 BSU_07900, yfkH, general stress protein, BSU_07900
 new_516099_516240, S162, new RNA feature, new_516099_516240
 new_1549384_1549464, S538, new RNA feature, new_1549384_1549464
 BSU_38720, yxkO, ADP/ATP-dependent NAD(P)H-hydrate dehydratase, survival of ethanol  stress
 BSU_15200, murD, UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase, peptidoglycan precursor biosynthesis
 new_2432160_2433082, S882, new RNA feature,
 new_2432160_2433082, , ,
 new_3016299_3016403_c, S1119, new RNA feature, new_3016299_3016403_c
 BSU_16010, ylqD, unknown, unknown
 BSU_28640, pheS, phenylalanyl-tRNA synthetase (alpha subunit), BSU_28640
 BSU_15800, yloS, thiamine pyrophosphokinase, thiamine salvage
 BSU_02220, ybfI, similar to transcription factor ([wiki|AraC family]), unknown
 BSU_24190, yqiI, secreted N-acetylmuramoyl-L-alanine amidase, cell wall metabolism
 new_2798008_2799197, S1038, new RNA feature,
 new_2798008_2799197, , ,
 BSU_11810, spoVIF, required for spore coat assembly and resistance, required for spore coat assembly and resistance
 BSU_22980, ypbG, unknown, unknown
 new_3463251_3463318_c, S1291, new RNA feature, new_3463251_3463318_c
 new_3622139_3622219_c, S1346, new RNA feature, new_3622139_3622219_c
 BSU_37090, glpX, class II fructose-1, gluconeogenesis
 BSU_30050, murJ, lipid II flippase, export of lipid II
 BSU_06990, rhiG, [wiki|ABC transporter] (membrane protein) for rhamnose oligosaccharides, uptake of rhamnose oligosaccharides
 BSU_01700, murQ, N-acetyl-muramic acid-6P etherase (cleaves lactate from N-acetylmuramic acid), cell wall turnover
 BSU_11530, coiA, protein involved in establishment of DNA transport in competence, genetic competence
 BSU_13840, stoA, thiol-disulfide oxidoreductase, required for the synthesis of the endospore peptidoglycan cortex
 new_235329_235401_c, S82, new RNA feature, new_235329_235401_c
 BSU_08560, yfhJ, unknown, unknown
 BSU_25820, yqcI, unknown, unknown
 BSU_33920, tpi, triose phosphate isomerase, BSU_33920
 BSU_26020, yqbP, similar to phage-related protein, unknown
 new_3860876_3860997_c, S1456, new RNA feature,
 new_3860876_3860997_c, , ,
 BSU_04700, rsbU, protein serine phosphatase, dephosphorylates [[protein|AC64DA463250A090A62E50901EFE653C8F963872]]
 BSU_32640, sspG, small acid-soluble spore protein (minor), protection of spore DNA
 BSU_10300, aprE, major extracellular alkaline protease, protein degradation
 BSU_06600, pcrB, heptaprenylglyceryl phosphate synthase, unknown
 BSU_31560, nupP, [wiki|ABC transporter] for guanosine (membrane protein), uptake of guanosine
 BSU_24940, sweC, cofactor of the [[protein|8BF7EB539B53D75BD30BD30ABF27106D6A0B030B]]-[[protein|E22D0F0AC56DC95AFC02E7F55FCD5FAA44B6B490]] complex, control of [[protein|4F9D70C4BB4FCA809BEAC341C3F8122FB7FD8872]] activity in peptidoglycan elongation
 new_3466157_3466342_c, S1296, new RNA feature, new_3466157_3466342_c
 new_52649_52719, S29, new RNA feature, new_52649_52719
 BSU_12671, xkdN, unknown PBSX prophage protein, unknown
 BSU_19650, pgpB, phosphatidylglycerol phosphate (PGP) phosphatase , BSU_19650
 BSU_21090, yonH, unknown, unknown
 BSU_21140, yonC, unknown, unknown
 BSU_misc_RNA_39, BSU_misc_RNA_39, null, null
 BSU_05580, ydgC, similar to transcription factor ([wiki|TetR family]), unknown
 new_2840767_2840964_c, pipA, new RNA feature,
 new_2840767_2840964_c, , ,
 BSU_34780, nahA, RNA pyrophosphohydrolase, BSU_34780
 BSU_06170, fruC, fructokinase, utilization of sucrose and glucitol
 BSU_15060, tmcAL, tRNA<sup>Met</sup> cytidine acetate ligase, BSU_15060
 new_925460_925632, S288, new RNA feature, new_925460_925632
 BSU_35020, nagB, glucosamine-6-phosphate deaminase, N-acetylglucosamine utilization
 BSU_31330, yugN, unknown, unknown
 BSU_18380, iseA, secreted inhibitor of cell wall endopeptidases, BSU_18380
 BSU_01290, rpsN, ribosomal protein, translation
 BSU_11180, yitZ, similar to multidrug resistance protein, unknown
 BSU_35239, swrAA/2, control of DegU activity, part of the swrAA pseudogene
 new_2596439_2596534, S945, new RNA feature,
 new_2596439_2596534, , ,
 new_238449_238569_c, S84, new RNA feature, new_238449_238569_c
 BSU_01440, rplQ, ribosomal protein BL17, translation
 BSU_34230, epsN, UDP-2, required for extracellular polysaccharide synthesis
 new_593206_593301_c, S188, new RNA feature, new_593206_593301_c
 new_2070120_2070243_c, S719, new RNA feature,
 new_2070120_2070243_c, , ,
 BSU_16070, ylqG, unknown, unknown
 new_3707708_3707818, S1383, new RNA feature,
 new_3707708_3707818, , ,
 BSU_31990, dhbC, isochorismate synthase, biosynthesis of the siderophore bacillibactin
 BSU_35080, pchR, transcriptional repressor ([wiki|MarR family]), BSU_35080
 BSU_17267, ymzE/2, part of the ymzE pseudogene, unknown
 BSU_24950, pstBB, phosphate [wiki|ABC transporter ](ATP-binding protein), high-affinity phosphate uptake
 new_3809370_3809496_c, S1439, new RNA feature, new_3809370_3809496_c
 new_1008553_1008622, S324, new RNA feature,
 new_1008553_1008622, , ,
 BSU_11420, trpS, tryptophanyl-tRNA synthetase, translation
 BSU_15090, gerR, probably DNA-binding protein, BSU_15090
 BSU_06020, groES, chaperonin, BSU_06020
 new_2309648_2309785_c, S830, new RNA feature, new_2309648_2309785_c
 new_196132_196212, S68, new RNA feature, new_196132_196212
 BSU_26990, yraD, forespore-specific sporulation protein, BSU_26990
 BSU_00150, dgk, deoxyguanosine kinase, purine salvage and interconversion
 BSU_06430, purK, phosphoribosylaminoimidazole carboxylase (ATP-dependent), purine biosynthesis
 BSU_39290, yxxD, antitoxin, inhibition of the cytotoxic activity of [[protein|BD8C0563C7123B6DEC1EEB602BDF2C9D92D34991]]
 BSU_02700, lip, extracellular lipase, lipid degradation
 BSU_28890, yscB, unknown, unknown
 BSU_39840, yxbG, general stress protein, BSU_39840
 BSU_29290, sndA, sulphur compound N-deacetylase, BSU_29290
 BSU_22170, ypsC, similar to SAM-dependent 23S rRNA methyltransferase, rRNA modification
 new_3294170_3294254_c, S1231, new RNA feature, new_3294170_3294254_c
 new_2605598_2605729_c, S955, new RNA feature, new_2605598_2605729_c
 BSU_20960, yopA, unknown, unknown
 BSU_28440, sdhA, succinate dehydrogenase (flavoprotein subunit), TCA cycle
 new_3965134_3966683_c, S1482, new RNA feature, new_3965134_3966683_c
 BSU_33540, azoR2, similar to NAD(P)H dehydrogenase (quinone), resistance to 2-methylhydroquinone
 new_3608843_3609333_c, S1340, new RNA feature, new_3608843_3609333_c
 new_4167624_4168153, S1562, new RNA feature,
 new_4167624_4168153, , ,
 new_3388009_3388287_c, S1272, new RNA feature, new_3388009_3388287_c
 BSU_01100, rpsL, ribosomal protein, translation
 BSU_06000, ydiK, unknown lipoprotein, unknown
 BSU_07440, yfmK, Nε-lysine acetyltransferase, BSU_07440
 BSU_37570, mmr, methylenomycin A resistance protein, resistance to methylenomycin A
 new_756987_757065, S246, new RNA feature,
 new_756987_757065, , ,
 new_3907315_3907453_c, S1467, new RNA feature, new_3907315_3907453_c
 BSU_25300, cdd, cytidine deaminase, pyrimidine interconversion
 BSU_06700, yerO, similar to transcriptional regulator ([wiki|TetR family]), unknown
 new_676139_676441, S222, new RNA feature, new_676139_676441
 BSU_28250, leuD, 3-isopropylmalate dehydratase (small subunit), biosynthesis of leucine
 BSU_08690, ygaD, similar to [wiki|ABC transporter] (fused ATP-binding and membrane protein), unknown
 BSU_misc_RNA_91, pswI, , 
 new_2987548_2987649_c, S1104, new RNA feature, new_2987548_2987649_c
 BSU_37730, bacB, oxidase that catalyzes the synthesis of 2-oxo-3-(4-oxocyclohexa-2, a precursor to L-anticapsin
 BSU_rRNA_29, rrnH-23S, 23S rRNA, translation
 BSU_15110, ylbQ, 2-dehydropantoate 2-reductase, biosynthesis of coenzyme A
 BSU_25740, yqeB, unknown, unknown
 BSU_18909, yozZ, unknown, BSU_18909
 BSU_32390, yunF, unknown, unknown
 BSU_32270, yutH, spore coat protein, protection of the spore
 new_2333212_2333323_c, S840, new RNA feature,
 new_2333212_2333323_c, , ,
 BSU_33200, yvrE, glucono-lactonase, similar to senescence marker protein-30
 BSU_33270, yvrO, similar to amino acid [wiki|ABC transporter ](ATP-binding protein), unknown
 BSU_21930, cspD, cold shock protein, RNA chaperone
 BSU_01810, adaA, trigger enzyme, adaptive response to alkylative DNA damage
 BSU_22150, ypvA, similar to ATP-dependent helicase, unknown
 new_2795736_2795840_c, S1037, new RNA feature, new_2795736_2795840_c
 new_1253253_1253384, S424, new RNA feature,
 new_1253253_1253384, , ,
 BSU_08400, yfiU, similar to multidrug-efflux transporter, unknown
 new_2169677_2170029_c, S770, new RNA feature,
 new_2169677_2170029_c, , ,
 BSU_19410, cwlS, D, peptidoglycan hydrolase for cell separation
 BSU_33190, yvrD, similar to ketoacyl-carrier protein reductase, unknown
 BSU_11200, argJ, N-acetylglutamate synthase, biosynthesis of arginine
 BSU_01000, secE, preprotein translocase subunit, protein secretion
 BSU_13960, ykwC, beta-hydroxyacid dehydrogenase, unknown
 BSU_tRNA_68, trnB-Gly2, , translation
 BSU_13545, BSU_13545, , 
 new_2586704_2586996_c, S937, new RNA feature, new_2586704_2586996_c
 BSU_30090, yteU, unknown, unknown
 new_2571798_2571906_c, S933, new RNA feature,
 new_2571798_2571906_c, , ,
 BSU_18740, yozG, similar to transcription regulator ([wiki|Xre family]), unknown
 new_1907334_1907493, S650, new RNA feature, new_1907334_1907493
 BSU_28270, leuB, 3-isopropylmalate dehydrogenase, biosynthesis of leucine
 BSU_31510, yufK, unknown, unknown
 BSU_31500, yuxK, unknown, unknown
 BSU_04470, dctP, uptake of succinate, malate and oxaloacetate via proton symport
 new_2491949_2492028_c, S909, new RNA feature,
 new_2491949_2492028_c, , ,
 new_3717098_3717211_c, S1387, new RNA feature, new_3717098_3717211_c
 new_2273724_2273988_c, SR4, antitoxin RNA, new_2273724_2273988_c
 new_2456890_2457210_c, S894, new RNA feature,
 new_2456890_2457210_c, , ,
 new_3059402_3059490_c, S1145, new RNA feature, new_3059402_3059490_c
 new_3222530_3223451, S1197, new RNA feature,
 new_3222530_3223451, , ,
 new_3918332_3918517_c, S1472, new RNA feature, new_3918332_3918517_c
 BSU_38480, sasA, (p)ppGpp synthetase, contributes to cellular heterogeneity in protein synthesis during nutrient limitation
 new_154838_155119, S59, new RNA feature, new_154838_155119
 new_2093013_2093780, S733, new RNA feature,
 new_2093013_2093780, , ,
