"category id","category","gene locus","gene name"
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_37240",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_37240",""
"SW.6.2","Membrane proteins","BSU_37240",""
"SW.6.2","Membrane proteins","BSU_08320",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_17280",""
"SW.6.7","Proteins of unknown function","BSU_13520",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_11120",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_11120",""
"SW.6.2","Membrane proteins","BSU_11120",""
"SW.6.7","Proteins of unknown function","BSU_07410",""
"SW.3.4.1.2","Control of sigma factors","BSU_33250",""
"SW.4.3.3","Acid stress proteins (controlled by YvrI-YvrHa)","BSU_33250",""
"SW.6.2","Membrane proteins","BSU_33250",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_32630",""
"SW.6.7","Proteins of unknown function","BSU_27490",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_10750",""
"SW.3.2.1.2","Sigma factors","BSU_09520",""
"SW.3.4.1.1","Sigma factors","BSU_09520",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_09520",""
"SW.4.3.13","Resistance against toxins/ antibiotics","BSU_09520",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_15260",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_15260",""
"SW.6.2","Membrane proteins","BSU_15260",""
"SW.6.2","Membrane proteins","BSU_39600",""
"SW.6.7","Proteins of unknown function","BSU_39600",""
"SW.6.10","Pseudogenes","BSU_11382",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_00250",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_00250",""
"SW.5.1.2","SP-beta prophage","BSU_21190",""
"SW.6.7","Proteins of unknown function","BSU_30180",""
"SW.5.1.2","SP-beta prophage","BSU_20040",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_20040",""
"SW.6.7","Proteins of unknown function","BSU_25569",""
"SW.6.7","Proteins of unknown function","BSU_39150",""
"SW.3.1.7","Genetic competence","BSU_10420",""
"SW.3.4.2.5","Transcription factors/ other","BSU_10420",""
"SW.4.1.3","Genetic competence","BSU_10420",""
"SW.2.4.2.3","Biosynthesis of isoprenoids","BSU_25160",""
"SW.6.1","Essential genes","BSU_25160",""
"SW.3.3.4.2","Protein kinases","BSU_30390",""
"SW.3.4.2.2.1","Two-component sensor kinase","BSU_30390",""
"SW.4.3.13","Resistance against toxins/ antibiotics","BSU_30390",""
"SW.6.2","Membrane proteins","BSU_30390",""
"SW.6.7","Proteins of unknown function","BSU_22390",""
"SW.2.2.2.16","Utilization of inositol","BSU_39750",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_23780",""
"SW.2.1.3","Electron transport/ other","BSU_14150",""
"SW.3.1.2","DNA replication/ based on similarity","BSU_21990",""
"SW.3.2.5","RNase/ based on similarity","BSU_21990",""
"SW.3.3.1.11","Translation factors","BSU_16520",""
"SW.6.1","Essential genes","BSU_16520",""
"SW.1.1.1.1","Biosynthesis of peptidoglycan","BSU_14000",""
"SW.2.3.1.6","Biosynthesis/ acquisition of lysine/ threonine","BSU_14000",""
"SW.2.6.1.1","Biosynthesis of peptidoglycan","BSU_14000",""
"SW.6.1","Essential genes","BSU_14000",""
"SW.6.7","Proteins of unknown function","BSU_27809",""
"SW.6.7","Proteins of unknown function","BSU_26450",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_27020",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_27020",""
"SW.3.3.5","Protein secretion","BSU_misc_RNA_2",""
"SW.6.1","Essential genes","BSU_misc_RNA_2",""
"SW.6.7","Proteins of unknown function","BSU_25090",""
"SW.3.3.5","Protein secretion","BSU_24630",""
"SW.4.1.2","Biofilm formation","BSU_24630",""
"SW.6.2","Membrane proteins","BSU_24630",""
"SW.3.3.1.7","tRNA","BSU_tRNA_34",""
"SW.3.3.1.8","tRNA modification and maturation","BSU_17330",""
"SW.4.3.14","Resistance against toxins/ antibiotics/ based on similarity","BSU_08380",""
"SW.6.2","Membrane proteins","BSU_08380",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_32660",""
"SW.4.2.1.5","Newly identified sporulation proteins (based on transcription profiling)","BSU_19680",""
"SW.3.3.5","Protein secretion","BSU_31860",""
"SW.5.1.6","Phage-related functions","BSU_31860",""
"SW.6.2","Membrane proteins","BSU_31860",""
"SW.6.7","Proteins of unknown function","BSU_18860",""
"SW.6.7","Proteins of unknown function","BSU_36740",""
"SW.6.2","Membrane proteins","BSU_07120",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_07900",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_07900",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_38720",""
"SW.1.1.1.1","Biosynthesis of peptidoglycan","BSU_15200",""
"SW.2.6.1.1","Biosynthesis of peptidoglycan","BSU_15200",""
"SW.6.1","Essential genes","BSU_15200",""
"SW.6.7","Proteins of unknown function","BSU_16010",""
"SW.3.3.1.10","Aminoacyl-tRNA synthetases","BSU_28640",""
"SW.6.1","Essential genes","BSU_28640",""
"SW.6.5","Universally conserved proteins","BSU_28640",""
"SW.2.6.2.3","Biosynthesis/ acquisition of thiamine","BSU_15800",""
"SW.3.4.2.6","Transcription factor/ other/ based on similarity","BSU_02220",""
"SW.1.1.3.3","Utilization of cell wall components","BSU_24190",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_11810",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_22980",""
"SW.2.2.1.2","Gluconeogenesis","BSU_37090",""
"SW.1.1.1.1","Biosynthesis of peptidoglycan","BSU_30050",""
"SW.2.6.1.1","Biosynthesis of peptidoglycan","BSU_30050",""
"SW.6.2","Membrane proteins","BSU_30050",""
"SW.2.2.2.26","Utilization of pectin","BSU_06990",""
"SW.6.2","Membrane proteins","BSU_06990",""
"SW.1.1.3.3","Utilization of cell wall components","BSU_01700",""
"SW.2.2.2.17","Utilization of amino sugars","BSU_01700",""
"SW.3.1.7","Genetic competence","BSU_11530",""
"SW.4.1.3","Genetic competence","BSU_11530",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_13840",""
"SW.6.7","Proteins of unknown function","BSU_08560",""
"SW.5.1.3","Skin element","BSU_25820",""
"SW.2.2.1.1","Glycolysis","BSU_33920",""
"SW.2.2.1.2","Gluconeogenesis","BSU_33920",""
"SW.5.1.3","Skin element","BSU_26020",""
"SW.3.3.4.4","Protein phosphatases","BSU_04700",""
"SW.3.4.1.2","Control of sigma factors","BSU_04700",""
"SW.4.2.1.3","Small acid-soluble spore proteins","BSU_32640",""
"SW.2.3.3.5","Utilization of proteins","BSU_10300",""
"SW.2.4.3","Lipid metabolism/ other","BSU_06600",""
"SW.2.5.2.1","Biosynthesis/ acquisition of purine nucleotides","BSU_31560",""
"SW.6.2","Membrane proteins","BSU_31560",""
"SW.5.1.1","PBSX prophage","BSU_12671",""
"SW.5.1.2","SP-beta prophage","BSU_21090",""
"SW.5.1.2","SP-beta prophage","BSU_21140",""
"SW.6.7","Proteins of unknown function","new_2840767_2840964_c",""
"SW.2.2.2.19","Utilization of sucrose","BSU_06170",""
"SW.1.1.3.3","Utilization of cell wall components","BSU_35020",""
"SW.2.2.2.17","Utilization of amino sugars","BSU_35020",""
"SW.6.7","Proteins of unknown function","BSU_31330",""
"SW.1.1.3.1","Autolysis","BSU_18380",""
"SW.3.3.1.4","Ribosomal proteins","BSU_01290",""
"SW.6.1","Essential genes","BSU_01290",""
"SW.4.3.14","Resistance against toxins/ antibiotics/ based on similarity","BSU_11180",""
"SW.6.2","Membrane proteins","BSU_11180",""
"SW.3.4.2.2.3","Control of response regulators/ other","BSU_35239",""
"SW.4.1.2","Biofilm formation","BSU_35239",""
"SW.6.10","Pseudogenes","BSU_35239",""
"SW.3.3.1.4","Ribosomal proteins","BSU_01440",""
"SW.6.1","Essential genes","BSU_01440",""
"SW.4.1.2","Biofilm formation","BSU_34230",""
"SW.6.7","Proteins of unknown function","BSU_16070",""
"SW.2.6.5.1","Acquisition of iron / Other","BSU_31990",""
"SW.6.10","Pseudogenes","BSU_17267",""
"SW.2.6.3","Phosphate metabolism","BSU_24950",""
"SW.3.3.1.10","Aminoacyl-tRNA synthetases","BSU_11420",""
"SW.6.1","Essential genes","BSU_11420",""
"SW.3.4.2.5","Transcription factors/ other","BSU_15090",""
"SW.3.3.2","Chaperones/ protein folding","BSU_06020",""
"SW.4.3.4","Heat shock proteins","BSU_06020",""
"SW.6.1","Essential genes","BSU_06020",""
"SW.6.5","Universally conserved proteins","BSU_06020",""
"SW.4.2.1.2","Spore coat protein/ based on similarity","BSU_26990",""
"SW.2.5.2.3","Purine salvage and interconversion","BSU_00150",""
"SW.2.5.2.1","Biosynthesis/ acquisition of purine nucleotides","BSU_06430",""
"SW.2.4.1.4","Utilization of lipids/ other","BSU_02700",""
"SW.6.7","Proteins of unknown function","BSU_28890",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_39840",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_39840",""
"SW.2.6.4.1","Conversion of S-methyl cysteine to cysteine","BSU_29290",""
"SW.3.3.1.3","rRNA modification and maturation/ based on similarity","BSU_22170",""
"SW.5.1.2","SP-beta prophage","BSU_20960",""
"SW.2.2.1.4","TCA cycle","BSU_28440",""
"SW.6.2","Membrane proteins","BSU_28440",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_33540",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_33540",""
"SW.3.3.1.4","Ribosomal proteins","BSU_01100",""
"SW.6.1","Essential genes","BSU_01100",""
"SW.6.2","Membrane proteins","BSU_06000",""
"SW.6.7","Proteins of unknown function","BSU_06000",""
"SW.4.3.13","Resistance against toxins/ antibiotics","BSU_37570",""
"SW.6.2","Membrane proteins","BSU_37570",""
"SW.2.5.4","Nucleotide metabolism/ other","BSU_25300",""
"SW.3.4.2.6","Transcription factor/ other/ based on similarity","BSU_06700",""
"SW.2.3.1.12","Biosynthesis/ acquisition of branched-chain amino acids","BSU_28250",""
"SW.6.2","Membrane proteins","BSU_08690",""
"SW.2.6.6.1","Biosynthesis of antibacterial compounds","BSU_37730",""
"SW.4.3.15","Biosynthesis of antibacterial compounds","BSU_37730",""
"SW.3.3.1.1","Ribosomal RNA","BSU_rRNA_29",""
"SW.2.6.2.4","Biosynthesis of coenzyme A","BSU_15110",""
"SW.6.7","Proteins of unknown function","BSU_25740",""
"SW.6.7","Proteins of unknown function","BSU_18909",""
"SW.6.7","Proteins of unknown function","BSU_32390",""
"SW.6.2","Membrane proteins","BSU_32270",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_33200",""
"SW.6.2","Membrane proteins","BSU_33270",""
"SW.3.2.2","RNA chaperones","BSU_21930",""
"SW.4.3.5","Cold stress proteins","BSU_21930",""
"SW.3.1.5","DNA repair/ recombination","BSU_01810",""
"SW.3.4.2.5","Transcription factors/ other","BSU_01810",""
"SW.5.1.4","Prophage 1","BSU_01810",""
"SW.3.1.6","DNA repair/ recombination/ based on similarity","BSU_22150",""
"SW.4.3.14","Resistance against toxins/ antibiotics/ based on similarity","BSU_08400",""
"SW.6.2","Membrane proteins","BSU_08400",""
"SW.1.1.3.1","Autolysis","BSU_19410",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_33190",""
"SW.2.3.1.4","Biosynthesis/ acquisition of arginine","BSU_11200",""
"SW.3.3.5","Protein secretion","BSU_01000",""
"SW.6.1","Essential genes","BSU_01000",""
"SW.6.2","Membrane proteins","BSU_01000",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_13960",""
"SW.3.3.1.7","tRNA","BSU_tRNA_68",""
"SW.6.7","Proteins of unknown function","BSU_30090",""
"SW.3.4.2.6","Transcription factor/ other/ based on similarity","BSU_18740",""
"SW.2.3.1.12","Biosynthesis/ acquisition of branched-chain amino acids","BSU_28270",""
"SW.6.2","Membrane proteins","BSU_31510",""
"SW.6.7","Proteins of unknown function","BSU_31510",""
"SW.6.7","Proteins of unknown function","BSU_31500",""
"SW.2.2.2.1","Utilization of organic acids","BSU_04470",""
"SW.6.2","Membrane proteins","BSU_04470",""
"SW.2.5.3","Metabolism of signalling nucleotides","BSU_38480",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_38480",""
"SW.3.2.1.2","Sigma factors","BSU_34200",""
"SW.3.4.1.1","Sigma factors","BSU_34200",""
"SW.6.7","Proteins of unknown function","BSU_23900",""
"SW.2.2.2.6","Utilization of arabinan/ arabinose/ arabitol","BSU_39330",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_09940",""
"SW.6.2","Membrane proteins","BSU_09940",""
"SW.2.3.1.6","Biosynthesis/ acquisition of lysine/ threonine","BSU_32260",""
"SW.2.3.1.10","Biosynthesis/ acquisition of methionine/ S-adenosylmethionine","BSU_32260",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_08800",""
"SW.2.6.6.2","Biosynthesis of bacillithiol","BSU_15120",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_15120",""
"SW.4.2.1.5","Newly identified sporulation proteins (based on transcription profiling)","BSU_10780",""
"SW.3.3.1.7","tRNA","BSU_tRNA_5",""
"SW.3.3.1.4","Ribosomal proteins","BSU_27960",""
"SW.6.1","Essential genes","BSU_27960",""
"SW.2.6.5.1","Acquisition of iron / Other","BSU_16825",""
"SW.6.2","Membrane proteins","BSU_16825",""
"SW.1.1.7","Membrane dynamics","BSU_25380",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_25380",""
"SW.4.3.13","Resistance against toxins/ antibiotics","BSU_25380",""
"SW.6.2","Membrane proteins","BSU_25380",""
"SW.1.1.5","Cell wall/ other","BSU_32340",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_32340",""
"SW.2.3.1.10","Biosynthesis/ acquisition of methionine/ S-adenosylmethionine","BSU_31440",""
"SW.5.1.2","SP-beta prophage","BSU_21200",""
"SW.2.6.5.1","Acquisition of iron / Other","BSU_30650",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_30650",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_30650",""
"SW.3.3.1.4","Ribosomal proteins","BSU_01090",""
"SW.2.3.1.4","Biosynthesis/ acquisition of arginine","BSU_11250",""
"SW.2.3.1.10","Biosynthesis/ acquisition of methionine/ S-adenosylmethionine","BSU_21910",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_21910",""
"SW.3.3.4.8","Protein modification/ other","BSU_22720",""
"SW.3.1.7","Genetic competence","BSU_23890",""
"SW.3.3.5","Protein secretion","BSU_23890",""
"SW.4.1.3","Genetic competence","BSU_23890",""
"SW.6.2","Membrane proteins","BSU_23890",""
"SW.5.1.2","SP-beta prophage","BSU_21030",""
"SW.4.3.14","Resistance against toxins/ antibiotics/ based on similarity","BSU_11480",""
"SW.6.2","Membrane proteins","BSU_11480",""
"SW.5.1.5","Prophage 3","BSU_06037",""
"SW.6.10","Pseudogenes","BSU_06037",""
"SW.5.1.1","PBSX prophage","BSU_12730",""
"SW.3.1.3","DNA condensation/ segregation","BSU_16800",""
"SW.4.2.3","Sporulation/ other","BSU_16800",""
"SW.6.2","Membrane proteins","BSU_16800",""
"SW.2.2.2.1","Utilization of organic acids","BSU_29710",""
"SW.2.4.1.3","Utilization of fatty acids","BSU_29710",""
"SW.3.3.4.5","Protein acetylases/ deacetylases","BSU_29710",""
"SW.1.1.3.3","Utilization of cell wall components","BSU_01690",""
"SW.2.2.2.17","Utilization of amino sugars","BSU_01690",""
"SW.3.4.2.5","Transcription factors/ other","BSU_01690",""
"SW.5.1.3","Skin element","BSU_26180",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_35970",""
"SW.3.1.5","DNA repair/ recombination","BSU_13400",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_13400",""
"SW.5.1.2","SP-beta prophage","BSU_21599",""
"SW.6.10","Pseudogenes","BSU_21599",""
"SW.6.2","Membrane proteins","BSU_33160",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_27760",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_27760",""
"SW.6.2","Membrane proteins","BSU_27760",""
"SW.3.3.2","Chaperones/ protein folding","BSU_21440",""
"SW.5.1.2","SP-beta prophage","BSU_21440",""
"SW.6.2","Membrane proteins","BSU_21440",""
"SW.1.1.1.1","Biosynthesis of peptidoglycan","BSU_04230",""
"SW.2.6.1.1","Biosynthesis of peptidoglycan","BSU_04230",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_04230",""
"SW.6.2","Membrane proteins","BSU_04230",""
"SW.3.3.1.11","Translation factors","BSU_35290",""
"SW.6.1","Essential genes","BSU_35290",""
"SW.2.6.2.10","Biosynthesis of molybdopterin","BSU_14300",""
"SW.6.7","Proteins of unknown function","BSU_17810",""
"SW.3.3.1.10","Aminoacyl-tRNA synthetases","BSU_00920",""
"SW.6.1","Essential genes","BSU_00920",""
"SW.6.5","Universally conserved proteins","BSU_00920",""
"SW.2.2.2.1","Utilization of organic acids","BSU_07590",""
"SW.3.4.2.1","Two-component system response regulators","BSU_07590",""
"SW.2.6.5.1","Acquisition of iron / Other","BSU_31970",""
"SW.5.1.2","SP-beta prophage","BSU_21520",""
